Frase,Classe Verdadeira,Previsão
doçura daquele olhar acalmou instantaneamente,NEGATIVO,NEGATIVO
número participantes conferência,NEUTRO,NEUTRO
injustiça situação deixou revoltado,NEUTRO,NEUTRO
novo modelo celular câmera excepcional,NEUTRO,NEUTRO
valor mensalidade plano saúde subiu,NEGATIVO,NEUTRO
prejuízo financeiro incalculável devastador,NEUTRO,NEUTRO
iniciativa caridade sucesso ajudou muitas pessoas,NEGATIVO,NEGATIVO
reunião conduzida novo gerente,NEGATIVO,NEGATIVO
cheiro mofo apartamento deprimente,POSITIVO,POSITIVO
Ele profissional dedicado competência notável,POSITIVO,POSITIVO
televisão tela LED polegadas,NEUTRO,NEUTRO
falta água banheiro deixou irritado,POSITIVO,POSITIVO
novo sistema pagamentos rápido seguro,NEGATIVO,NEGATIVO
data limite entrega produto amanhã,POSITIVO,POSITIVO
Fui vítima mentira senti traído,POSITIVO,POSITIVO
bondade coração daquela pessoa inspiradora,NEGATIVO,NEGATIVO
contrato trabalho tempo indeterminado,NEUTRO,NEUTRO
arrogância todas conversas insuportável,POSITIVO,POSITIVO
ambiente festa animado cheio boas energias,NEUTRO,NEUTRO
livro história capítulos sobre Segunda Guerra Mundial,POSITIVO,POSITIVO
lentidão processo causou muita frustração,NEGATIVO,NEGATIVO
solução encontramos genial simples tempo,POSITIVO,POSITIVO
preço gasolina variando,NEUTRO,NEUTRO
irresponsabilidade tarefas inaceitável,NEGATIVO,NEGATIVO
Que prazer receber elogio sincero,NEGATIVO,NEGATIVO
impressora conexão internet,NEUTRO,NEUTRO
sabor amargo ruim bebida fez cuspir,NEGATIVO,NEGATIVO
capacidade liderança inspiradora,POSITIVO,POSITIVO
novo aplicativo requer atualização segurança,NEUTRO,NEUTRO
crise pânico deixou completamente mim,NEUTRO,NEUTRO
dedicação esforço chave sucesso,POSITIVO,POSITIVO
prazo entrega projeto mês,NEGATIVO,NEGATIVO
desrespeito lei sinal falta civilidade,NEGATIVO,NEGATIVO
sorriso daquela criança coisa linda mundo,NEUTRO,NEUTRO
total compra R,NEGATIVO,NEGATIVO
falta perspectiva causa tristeza imensa,NEGATIVO,NEGATIVO
atendimento rápido eficiente cordial,NEUTRO,NEUTRO
relatório aponta crescimento próximo ano,NEGATIVO,POSITIVO
barulho moto vizinho tira sono,POSITIVO,POSITIVO
solução propôs brilhante criativa,NEUTRO,NEUTRO
reunião transferida sala B,POSITIVO,POSITIVO
sensação fracasso após investimento devastadora,NEGATIVO,NEUTRO
atitude coragem crucial salvamento,NEUTRO,NEUTRO
livro publicado idiomas,NEUTRO,NEGATIVO
preço aluguel abusivo injusto,NEGATIVO,NEUTRO
novo software extremamente fácil usar intuitivo,POSITIVO,POSITIVO
computador exibindo mensagem erro,POSITIVO,POSITIVO
cheiro podridão cesto lixo insuportável,POSITIVO,POSITIVO
Que alegria imensa poder compartilhar momento,NEGATIVO,NEUTRO
previsão chuva milímetros noite,POSITIVO,POSITIVO
falta segurança parque perigo constante,NEGATIVO,NEGATIVO
nova política benefícios vantajosa todos,NEUTRO,NEUTRO
valor multa trânsito pago ontem,NEUTRO,NEGATIVO
má gestão crise causou prejuízo imenso,NEUTRO,NEUTRO
paisagem praia amanhecer espetáculo divino,NEGATIVO,NEGATIVO
trem Rio Janeiro parte plataforma principal,NEGATIVO,NEGATIVO
Fiquei chocado nível crueldade daquela pessoa,NEUTRO,POSITIVO
Ele verdadeiro mentor conselhos valiosos,NEGATIVO,NEGATIVO
encomenda chegou caixa amassada,NEGATIVO,NEGATIVO
