sentimento,texto_limpo
2,serviço entrega incrivelmente rápido eficiente
0,café manhã muitas opções quentes
1,reunião agendada dez horas manhã
0,Fiquei extremamente desapontado qualidade final produto
2,Recebi elogio maravilhoso equipe hoje
1,temperatura ambiente agradável época ano
0,Atrasos constantes prejudicando todo projeto
2,atendimento cliente superou todas expectativas
1,relatório financeiro divulgado próxima semana
0,Não consigo encontrar solução problema frustrante
2,nova atualização software fantástica intuitiva
0,preço bilhete aumentou significativamente neste mês
1,computador ligado tela permanece preta
0,Minha experiência empresa totalmente desagradável
2,Eles têm visão inovadora inspiradora futuro
1,cor parede azulclara conforme pedido
0,É inaceitável erro persista após tantas correções
2,Recomendo livro todos leitura enriquecedora
1,prazo final submissão documentos amanhã
0,Sintome completamente traído promessas cumpridas
2,novo design loja simplesmente espetacular
1,quantidade açúcar receita parece excessiva
0,falta comunicação causou estresse desnecessário
2,performance atleta brilhante merecendo ouro
1,luz sala pisca arcondicionado ligado
0,Estou cansado desta rotina monótona surpresas
2,sabor prato principal divino explosão temperos
1,governo anunciou novas medidas econômicas hoje
0,barulho construção vizinha insuportável
2,Agradeço imensamente apoio dedicação todos
1,margem erro dentro limite aceitável
0,Ele demonstrou comportamento rude desrespeitoso
2,palestra informativa abriu novos horizontes
1,previsão tempo indica chuva fraca tarde
0,É pena peça sido cancelada última hora
2,Recebi presente deixou incrivelmente feliz
1,carro precisa troca óleo alinhamento
0,lentidão sistema tirando paciência
2,iniciativa caridade sucesso retumbante
1,porta frente trancando corretamente
0,vazamento informações causou prejuízo irreparável
2,festa aniversário animadíssima cheia boas energias
1,número participantes evento superou expectativa inicial
0,Perdi confiança neles último erro
2,Tenho orgulho fazer parte desta comunidade acolhedora
1,pacote viagem inclui café manhã traslado
0,Não justificativa tanta desorganização caos
2,paisagem montanha tirar fôlego
1,resultado exame estará disponível três dias úteis
0,Fui alvo comentários maldosos ofensivos
2,Ela pessoa inspiradora força vontade incrível
1,livro didático páginas capítulos
0,cheiro corredor extremamente desagradável
2,show eletrizante banda melhor forma
1,eletrodoméstico consome watts hora uso
0,multa atraso pagamento abusiva
2,visita museu experiência cultural valiosa
1,Os documentos enviados endereço eletrônico fornecido
0,Houve falha segurança comprometeu dados
2,Encontrei solução perfeita problema
1,nova legislação entra vigor partir próximo mês
0,É irritante ter repetir mesma coisa várias vezes
2,feedback recebi construtivo útil
1,contrato cláusula rescisão após seis meses
0,Não aguento som alto vindo casa vizinho
2,bondade generosidade contagiantes
1,evento realizado centro convenções cidade
0,atendimento péssimo funcionário parecia entediado
2,comida fresquinha deliciosa sempre
1,empresa abriu novas vagas emprego
0,As condições trabalho deploráveis inseguras
2,sensação dever cumprido melhor recompensa
1,As chaves cima mesa cozinha
0,Fui cobrado duas vezes serviço
2,vista terraço absolutamente deslumbrante
1,nova política férias permite acumular dias
0,produto frágil quebrou primeiro uso
2,trabalho equipe harmonioso produtivo
1,ônibus passa cada vinte minutos dias úteis
0,indiferença relação problema revoltante
2,Consegui superar desafio sinto vitorioso
1,peça teatro três atos intervalo
0,preço acima valor mercado
2,É prazer trabalhar pessoas tão dedicadas
1,prazo garantia produto dias
0,resultado fiasco total perdemos tudo
2,Ele talento incrível música clássica
1,máquina lavar roupas parou funcionar
0,As críticas negativas internet assustadoras
2,sorriso ilumina qualquer ambiente
1,aluguel apartamento R mês
0,comida fria sabor decepção
2,proposta parceria promissora bemvinda
1,bateria celular dura cerca cinco horas
0,situação emergência causou pânico generalizado
2,final filme emocionante fez chorar alegria
1,horário funcionamento loja h h
0,falta respeito motorista vergonhosa
2,Que dia maravilhoso sair aproveitar sol
1,total compra cento cinquenta reais vinte centavos
2,design minimalista elegante funcional
1,data limite entrega projeto alterada
0,Nunca compro nada desta marca desperdício
2,seminário excepcionalmente bem organizado produtivo
0,As instruções montagem claras dificultam processo
1,número acessos site triplicou mês
2,Sinto grande felicidade rever amigos infância
0,trânsito rodovia principal totalmente parado
1,Ela trabalha engenheira civil grande construtora
0,falta higiene neste local repugnante
2,atendimento cordial resolveu problema rapidamente
1,manual usuário disponível apenas formato digital
0,Essa situação deixou estado profunda tristeza
2,pôr sol praia hoje visão gloriosa
1,pacote enviado depósito central Paraná
0,atitude verdadeiro insulto inteligência
2,É privilégio testemunhar tanto talento dedicação
1,filme duração hora minutos
0,barulho constante vizinhos insuportável estressante
2,Que notícia incrível Estou pulando alegria
0,preço gasolina subiu novamente nesta semana
1,artigo discute efeitos inteligência artificial sociedade
2,nova decoração ambiente ficou aconchegante charmosa
0,Tivemos esperar horas fila tedioso
1,As eleições municipais realizadas outubro
0,Ele mentiroso palavras têm credibilidade
2,projeto aprovado agora podemos celebrar sucesso
1,número telefone contato rodapé página
0,Estou desesperado quantidade dívidas acumuladas
2,cheiro pão fresco algo conforta profundamente
1,computador reiniciou sozinho após atualização sistema
0,Fui tratado total descaso indiferença
2,Sua capacidade liderança inspiradora motivadora
1,previsão temperatura chegue graus
0,erro causou prejuízo demoraremos recuperar
2,festa maravilhosa ótimas pessoas música
1,bicicleta marchas freios disco
0,tratamento recebi humilhante desnecessário
2,dedicação voluntários louvável faz diferença
1,Brasil quinto maior país mundo área territorial
0,injustiça revolta deixa cheio fúria
2,É honra ter sido convidado participar deste evento
1,investimento inicial R mil começar negócio
0,filme ruim começo fim perda tempo
2,Adorei presente acertou cheio
1,livro receitas focado culinária vegetariana
0,falta transparência negociações suspeita
2,reconhecimento trabalho deixou grato
1,As obras rua devem durar duas semanas
0,Que decepção Pensei resultado outro
2,oportunidade crescimento empresa fantástica
1,geladeira nova capacidade litros
0,comportamento agressivo assustou todos
2,Que experiência enriquecedora inesquecível
1,evento transmitido vivo canal oficial instituição
0,Sintome completamente sozinho abandonado
2,show luzes cores obra arte
1,nova legislação exige todos prédios rampas acesso
0,demora retorno deixou ansioso preocupado
2,Ele profissional dedicado incrivelmente competente
1,cachorro vizinha late durante noite
0,Que falta consideração esperou tanto
2,solução encontramos genial economizará tempo
1,média idade funcionários anos
0,sabor amargo metálico comida intragável
2,notícia cura encheu coração esperança
1,reunião durou exatamente hora vinte minutos
