texto,sentimento
O serviço de entrega foi incrivelmente rápido e eficiente.,POSITIVO
O café da manhã não tinha muitas opções quentes.,NEGATIVO
A reunião está agendada para as dez horas da manhã.,NEUTRO
Fiquei extremamente desapontado com a qualidade final do produto.,NEGATIVO
Recebi um elogio maravilhoso da minha equipe hoje.,POSITIVO
A temperatura ambiente está agradável para esta época do ano.,NEUTRO
Atrasos constantes estão prejudicando todo o projeto.,NEGATIVO
O atendimento ao cliente superou todas as minhas expectativas.,POSITIVO
O relatório financeiro será divulgado na próxima semana.,NEUTRO
Não consigo encontrar uma solução para este problema frustrante.,NEGATIVO
A nova atualização do software é fantástica e muito intuitiva.,POSITIVO
O preço do bilhete aumentou significativamente neste mês.,NEGATIVO
"O computador está ligado, mas a tela permanece preta.",NEUTRO
Minha experiência com a empresa foi totalmente desagradável.,NEGATIVO
Eles têm uma visão inovadora e inspiradora para o futuro.,POSITIVO
"A cor da parede é azul-clara, conforme o pedido.",NEUTRO
É inaceitável que o erro persista após tantas correções.,NEGATIVO
Recomendo este livro a todos; é uma leitura enriquecedora.,POSITIVO
O prazo final para submissão dos documentos é amanhã.,NEUTRO
Sinto-me completamente traído pelas promessas não cumpridas.,NEGATIVO
O novo design da loja está simplesmente espetacular.,POSITIVO
A quantidade de açúcar na receita parece ser excessiva.,NEUTRO
A falta de comunicação causou um estresse desnecessário.,NEGATIVO
"A performance do atleta foi brilhante, merecendo o ouro.",POSITIVO
A luz da sala pisca quando o ar-condicionado é ligado.,NEUTRO
Estou cansado desta rotina monótona e sem surpresas.,NEGATIVO
"O sabor do prato principal estava divino, uma explosão de temperos.",POSITIVO
O governo anunciou novas medidas econômicas hoje.,NEUTRO
O barulho da construção vizinha é insuportável.,NEGATIVO
Agradeço imensamente o apoio e a dedicação de todos.,POSITIVO
A margem de erro está dentro do limite aceitável.,NEUTRO
Ele demonstrou um comportamento rude e desrespeitoso.,NEGATIVO
A palestra foi muito informativa e abriu novos horizontes.,POSITIVO
A previsão do tempo indica chuva fraca para a tarde.,NEUTRO
É uma pena que a peça tenha sido cancelada de última hora.,NEGATIVO
Recebi um presente que me deixou incrivelmente feliz.,POSITIVO
O carro precisa de uma troca de óleo e alinhamento.,NEUTRO
A lentidão do sistema está me tirando a paciência.,NEGATIVO
A iniciativa de caridade foi um sucesso retumbante.,POSITIVO
A porta da frente não está trancando corretamente.,NEUTRO
O vazamento de informações causou um prejuízo irreparável.,NEGATIVO
A festa de aniversário estava animadíssima e cheia de boas energias.,POSITIVO
O número de participantes no evento superou a expectativa inicial.,NEUTRO
Perdi a confiança neles depois do último erro.,NEGATIVO
Tenho orgulho de fazer parte desta comunidade acolhedora.,POSITIVO
O pacote de viagem inclui café da manhã e traslado.,NEUTRO
Não há justificativa para tanta desorganização e caos.,NEGATIVO
A paisagem da montanha era de tirar o fôlego.,POSITIVO
O resultado do exame estará disponível em três dias úteis.,NEUTRO
Fui alvo de comentários maldosos e ofensivos.,NEGATIVO
Ela é uma pessoa inspiradora e com uma força de vontade incrível.,POSITIVO
O livro didático tem 350 páginas e 12 capítulos.,NEUTRO
O cheiro no corredor é extremamente desagradável.,NEGATIVO
O show foi eletrizante e a banda estava em sua melhor forma.,POSITIVO
O eletrodoméstico consome 200 watts por hora de uso.,NEUTRO
A multa por atraso no pagamento é abusiva.,NEGATIVO
A visita ao museu foi uma experiência cultural muito valiosa.,POSITIVO
Os documentos foram enviados para o endereço eletrônico fornecido.,NEUTRO
Houve uma falha de segurança que comprometeu os dados.,NEGATIVO
Encontrei a solução perfeita para o meu problema.,POSITIVO
A nova legislação entra em vigor a partir do próximo mês.,NEUTRO
É irritante ter que repetir a mesma coisa várias vezes.,NEGATIVO
O feedback que recebi foi construtivo e muito útil.,POSITIVO
O contrato tem uma cláusula de rescisão após seis meses.,NEUTRO
Não aguento mais o som alto vindo da casa do vizinho.,NEGATIVO
A bondade e generosidade dele são contagiantes.,POSITIVO
O evento será realizado no centro de convenções da cidade.,NEUTRO
O atendimento foi péssimo; o funcionário parecia entediado.,NEGATIVO
"A comida estava fresquinha e deliciosa, como sempre.",POSITIVO
A empresa abriu 50 novas vagas de emprego.,NEUTRO
As condições de trabalho são deploráveis e inseguras.,NEGATIVO
A sensação de dever cumprido é a melhor recompensa.,POSITIVO
As chaves estão em cima da mesa da cozinha.,NEUTRO
Fui cobrado duas vezes pelo mesmo serviço.,NEGATIVO
A vista do terraço é absolutamente deslumbrante.,POSITIVO
A nova política de férias permite acumular até 10 dias.,NEUTRO
O produto é frágil e quebrou no primeiro uso.,NEGATIVO
O trabalho em equipe foi harmonioso e produtivo.,POSITIVO
O ônibus 403 passa a cada vinte minutos nos dias úteis.,NEUTRO
A indiferença deles em relação ao problema é revoltante.,NEGATIVO
Consegui superar o desafio e me sinto vitorioso.,POSITIVO
A peça de teatro tem três atos e um intervalo.,NEUTRO
O preço está muito acima do valor de mercado.,NEGATIVO
É um prazer trabalhar com pessoas tão dedicadas.,POSITIVO
O prazo de garantia do produto é de 90 dias.,NEUTRO
"O resultado foi um fiasco total, perdemos tudo.",NEGATIVO
Ele tem um talento incrível para a música clássica.,POSITIVO
A máquina de lavar roupas parou de funcionar.,NEUTRO
As críticas negativas na internet são assustadoras.,NEGATIVO
O sorriso dela ilumina qualquer ambiente.,POSITIVO
O aluguel do apartamento é de R$ 1.500 por mês.,NEUTRO
"A comida estava fria e sem sabor, uma decepção.",NEGATIVO
A proposta de parceria é promissora e muito bem-vinda.,POSITIVO
A bateria do meu celular dura cerca de cinco horas.,NEUTRO
A situação de emergência causou pânico generalizado.,NEGATIVO
O final do filme foi emocionante e me fez chorar de alegria.,POSITIVO
O horário de funcionamento da loja é das 9h às 18h.,NEUTRO
A falta de respeito do motorista foi vergonhosa.,NEGATIVO
Que dia maravilhoso para sair e aproveitar o sol!,POSITIVO
O total da compra é de cento e cinquenta reais e vinte centavos.,NEUTRO
O design minimalista é elegante e funcional.,POSITIVO
A data limite para a entrega do projeto foi alterada.,NEUTRO
"Nunca mais compro nada desta marca, foi um desperdício.",NEGATIVO
O seminário foi excepcionalmente bem organizado e produtivo.,POSITIVO
As instruções de montagem não são claras e dificultam o processo.,NEGATIVO
O número de acessos ao site triplicou em um mês.,NEUTRO
Sinto uma grande felicidade ao rever meus amigos de infância.,POSITIVO
O trânsito na rodovia principal está totalmente parado.,NEGATIVO
Ela trabalha como engenheira civil em uma grande construtora.,NEUTRO
A falta de higiene neste local é repugnante.,NEGATIVO
O atendimento foi cordial e resolveu meu problema rapidamente.,POSITIVO
O manual do usuário está disponível apenas em formato digital.,NEUTRO
Essa situação me deixou em estado de profunda tristeza.,NEGATIVO
O pôr do sol na praia hoje foi uma visão gloriosa.,POSITIVO
O pacote foi enviado do depósito central no Paraná.,NEUTRO
A atitude dele foi um verdadeiro insulto à nossa inteligência.,NEGATIVO
É um privilégio testemunhar tanto talento e dedicação.,POSITIVO
O filme tem duração de 1 hora e 45 minutos.,NEUTRO
O barulho constante dos vizinhos é insuportável e estressante.,NEGATIVO
Que notícia incrível! Estou pulando de alegria.,POSITIVO
O preço da gasolina subiu novamente nesta semana.,NEGATIVO
O artigo discute os efeitos da inteligência artificial na sociedade.,NEUTRO
A nova decoração do ambiente ficou aconchegante e charmosa.,POSITIVO
"Tivemos que esperar horas na fila, o que foi tedioso.",NEGATIVO
As eleições municipais serão realizadas em outubro.,NEUTRO
Ele é um mentiroso e suas palavras não têm credibilidade.,NEGATIVO
O projeto foi aprovado e agora podemos celebrar o sucesso.,POSITIVO
O número de telefone para contato está no rodapé da página.,NEUTRO
Estou desesperado com a quantidade de dívidas acumuladas.,NEGATIVO
O cheiro de pão fresco é algo que me conforta profundamente.,POSITIVO
O computador reiniciou sozinho após a atualização do sistema.,NEUTRO
Fui tratado com total descaso e indiferença.,NEGATIVO
Sua capacidade de liderança é inspiradora e motivadora.,POSITIVO
A previsão é de que a temperatura chegue a 30 graus.,NEUTRO
O erro causou um prejuízo que demoraremos a recuperar.,NEGATIVO
"A festa estava maravilhosa, com ótimas pessoas e música.",POSITIVO
A bicicleta tem 21 marchas e freios a disco.,NEUTRO
